Order;GroupID;CenterSize;kG;ClassSizes;Rank;Nilpotent;Solvable;DerivedLength;FittingDerivedLength;FittingSize;PrimeDivisors;CommutingProb;Ratio
384;384.8608;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8609;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12];5;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8610;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8611;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8612;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8613;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8614;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12];5;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8615;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8616;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8617;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,24,24];7;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
384;384.8618;8;66;[1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12];5;false;true;2;2;192;[2,3];0.171875;5.8181818181818183
